000078582/000,*5F5DEBC655FD79F674A1799A000078582/000*
000078583/000,*A45F8872D9031DDF18712BB7000078583/000*
000078584/000,*913FB56914BD59B31FA546C4000078584/000*
000078585/000,*8DD8DE76B8DA65BBBEF09F79000078585/000*
000078586/000,*34A818CAFA3B696A5B9053C7000078586/000*
000078587/000,*CC6AE63B3A4A42B7EE206A4B000078587/000*
000078588/000,*F1F116FAF6BDD58F40912FF1000078588/000*
000078589/000,*B7B9C3293C32823F86E77B49000078589/000*
000078590/000,*2F219B0EB0A1C00CB1327143000078590/000*
000078591/000,*360F0F254FCE3014809ADFC5000078591/000*
000078592/000,*886FDC79D3B1B14AFB219F72000078592/000*
000078593/000,*FC7A31029ACFB431B6C0ACF8000078593/000*
000078594/000,*E672D3D428917C5328348649000078594/000*
000078595/000,*0389455E533CC67BF6B80222000078595/000*
000078596/000,*839EF3E64C2DA4C3678FCB20000078596/000*
000078597/000,*FDB6668FEA1FDD0F7CF4C302000078597/000*
000078598/000,*799AAB43163235FE647589CD000078598/000*
000078599/000,*3FA7384A6BC038A19F0B5D99000078599/000*
000078600/000,*B4470D316A64EA47B9A7B45D000078600/000*
000078601/000,*441FFF0BE913645BF298FE94000078601/000*
000078602/000,*39294DB72E6795D46E18A033000078602/000*
000078603/000,*D604C250492CA043FD1A3401000078603/000*
000078604/000,*CBE58B6EE2EC12A89A6EDD34000078604/000*
000078605/000,*EC002EDD922A141E0227D516000078605/000*
000078606/000,*A51579DFD2A5FB4DC123DD0D000078606/000*
000078607/000,*8846B49A30C09081EEF7621A000078607/000*
000078608/000,*239F1EEC791669D13D84AA45000078608/000*
000078609/000,*75ACE074D43EAB05F803397B000078609/000*
000078610/000,*E4B6E9C2E319DB3C98E097E3000078610/000*
000078611/000,*81A9338338BE4C178E7632ED000078611/000*
000078612/000,*2B21C8304E091230D95D56B7000078612/000*
000078613/000,*1C8EF5965CA203137A5D1A58000078613/000*
000078614/000,*F1A0A4E12CCC8B0B30FD2E8F000078614/000*
000078615/000,*426650958597C9AF96874E5B000078615/000*
000078616/000,*24368C2B05824AF37DFB2B78000078616/000*
000078617/000,*51F01A88C2B5040CAB87B120000078617/000*
000078618/000,*A7523C26A1FFE41B673BD427000078618/000*
000078619/000,*A43B293C3F92E7BAA176EB03000078619/000*
000078620/000,*B0BF2153CDFF8A984ADCD02E000078620/000*
000078621/000,*C07DAAF56DB45F0C198EE817000078621/000*
000078622/000,*FCEF899341E69C5FD00F780A000078622/000*
000078623/000,*18F274AB319B20BB3D6F45DB000078623/000*
000078624/000,*1B887A4BD013C89FC731CE45000078624/000*
000078625/000,*8934DABBD282962C86AE3402000078625/000*
000078626/000,*DE38B2773D93CC63C11693AA000078626/000*
000078627/000,*9B11D43FB2B181AC40DA991D000078627/000*
000078628/000,*1FE5BA34F9D3288EB5B4E84F000078628/000*
000078629/000,*9F2D96EC26A936BCD50F8CE6000078629/000*
000078630/000,*C712164FBFFE9689C3F2EDC9000078630/000*
